Date,Time,Temperature,Humidity,Rainfall
24-3-2023,16:36:13,28.00,57.00,58,
24-3-2023,16:36:18,28.00,57.00,46,
24-3-2023,16:39:50,28.00,57.00,33,
24-3-2023,16:39:55,28.00,57.00,29,
24-3-2023,16:40:0,28.00,57.00,27,
24-3-2023,16:40:5,28.00,57.00,25,
24-3-2023,16:40:10,28.00,57.00,24,
24-3-2023,16:40:15,28.00,57.00,23,
24-3-2023,16:40:20,28.00,57.00,22,
24-3-2023,16:40:26,28.00,57.00,21,
24-3-2023,16:40:31,28.00,57.00,22,
24-3-2023,16:40:36,28.00,57.00,25,
24-3-2023,16:40:41,28.00,57.00,24,
24-3-2023,16:40:46,28.00,57.00,24,
24-3-2023,16:40:51,28.00,57.00,144,
24-3-2023,16:40:56,28.00,57.00,147,
24-3-2023,16:41:2,28.00,57.00,198,
24-3-2023,16:41:7,28.00,57.00,193,
24-3-2023,16:41:12,28.00,57.00,147,
24-3-2023,16:41:17,28.00,57.00,178,
24-3-2023,16:41:22,28.00,57.00,169,
24-3-2023,16:41:27,28.00,57.00,167,
24-3-2023,16:41:33,28.00,57.00,175,
24-3-2023,16:41:38,28.00,57.00,169,
24-3-2023,16:41:43,28.00,57.00,168,
24-3-2023,16:41:48,28.00,57.00,168,
24-3-2023,16:41:53,28.00,57.00,168,
24-3-2023,16:41:58,28.00,57.00,168,
24-3-2023,16:42:3,28.00,57.00,168,
24-3-2023,16:42:9,28.00,57.00,168,
24-3-2023,16:42:14,28.00,57.00,168,
24-3-2023,16:42:19,28.00,57.00,168,
24-3-2023,16:42:24,28.00,57.00,168,
24-3-2023,16:42:29,28.00,57.00,168,
24-3-2023,16:42:34,28.00,57.00,168,
24-3-2023,16:42:39,28.00,57.00,168,
24-3-2023,16:42:45,28.00,57.00,168,
24-3-2023,16:42:50,28.00,57.00,168,
24-3-2023,16:42:55,28.00,57.00,168,
24-3-2023,16:43:0,28.00,57.00,168,
24-3-2023,16:43:5,28.00,57.00,168,
24-3-2023,16:43:10,28.00,57.00,168,
24-3-2023,16:43:16,28.00,57.00,168,
24-3-2023,16:43:26,28.00,57.00,168,
24-3-2023,16:43:31,28.00,57.00,168,
24-3-2023,16:43:36,28.00,57.00,168,
24-3-2023,16:43:26,28.00,57.00,167,
24-3-2023,16:43:31,28.00,57.00,166,
24-3-2023,16:43:36,28.00,57.00,166,
24-3-2023,16:43:41,28.00,57.00,166,
24-3-2023,16:43:46,28.00,57.00,166,
24-3-2023,16:43:51,28.00,57.00,166,
24-3-2023,16:43:56,28.00,57.00,166,
24-3-2023,16:44:2,28.00,57.00,169,
24-3-2023,16:44:7,28.00,57.00,168,
24-3-2023,16:44:12,28.00,57.00,168,
24-3-2023,16:44:17,28.00,57.00,168,
24-3-2023,16:44:22,28.00,57.00,168,
24-3-2023,16:44:27,28.00,57.00,168,
24-3-2023,16:44:33,28.00,57.00,168,
24-3-2023,16:44:38,28.00,57.00,168,
24-3-2023,16:44:43,28.00,57.00,168,
24-3-2023,16:44:48,28.00,57.00,168,
24-3-2023,16:44:53,28.00,57.00,168,
24-3-2023,16:44:58,28.00,57.00,168,
24-3-2023,16:45:3,28.00,57.00,168,
24-3-2023,16:45:9,28.00,57.00,168,
24-3-2023,16:45:14,28.00,57.00,168,
24-3-2023,16:45:19,28.00,57.00,168,
24-3-2023,16:45:24,28.00,57.00,168,
24-3-2023,16:45:29,28.00,57.00,168,
24-3-2023,16:45:34,28.00,57.00,168,
24-3-2023,16:45:39,28.00,57.00,168,
24-3-2023,16:45:45,28.00,57.00,168,
24-3-2023,16:45:50,28.00,57.00,168,
24-3-2023,16:45:55,28.00,57.00,181,
24-3-2023,16:46:0,28.00,57.00,179,
24-3-2023,16:46:5,28.00,57.00,177,
24-3-2023,16:46:10,28.00,57.00,177,
24-3-2023,16:46:16,28.00,57.00,176,
24-3-2023,16:46:21,28.00,57.00,176,
24-3-2023,16:46:26,28.00,57.00,176,
24-3-2023,16:46:31,28.00,57.00,188,
24-3-2023,16:46:36,28.00,57.00,196,
24-3-2023,16:46:41,28.00,57.00,192,
24-3-2023,16:46:46,28.00,57.00,189,
24-3-2023,16:46:52,28.00,57.00,188,
24-3-2023,16:46:57,28.00,57.00,221,
24-3-2023,16:47:2,28.00,57.00,224,
24-3-2023,16:47:7,28.00,57.00,211,
24-3-2023,16:47:12,28.00,57.00,100,
24-3-2023,16:47:17,28.00,57.00,39,
24-3-2023,16:47:23,28.00,57.00,39,
24-3-2023,16:47:28,28.00,57.00,28,
24-3-2023,16:47:33,28.00,57.00,26,
24-3-2023,16:47:38,28.00,57.00,21,
